wiki_data_neg_sample_5_mar_10_l2_0.00_model
Epoch 1525 :  test_rel rank 1.18649913771865
Epoch 1530 :  test_rel rank 1.18649913771865
Epoch 1535 :  test_rel rank 1.18649913771865
Epoch 1540 :  test_rel rank 1.18649913771865
Epoch 1545 :  test_rel rank 1.18649913771865
Epoch 1550 :  test_rel rank 1.18649913771865
Epoch 1555 :  test_rel rank 1.18649913771865
Epoch 1560 :  test_rel rank 1.18649913771865
Epoch 1565 :  test_rel rank 1.18649913771865
Epoch 1570 :  test_rel rank 1.18649913771865
Epoch 1575 :  test_rel rank 1.18649913771865
Epoch 1580 :  test_rel rank 1.18649913771865
Epoch 1585 :  test_rel rank 1.18649913771865
Epoch 1590 :  test_rel rank 1.18649913771865
Epoch 1595 :  test_rel rank 1.18649913771865
Epoch 1600 :  test_rel rank 1.18649913771865
Epoch 1605 :  test_rel rank 1.18649913771865
Epoch 1610 :  test_rel rank 1.18649913771865
Epoch 1615 :  test_rel rank 1.18649913771865
Epoch 1620 :  test_rel rank 1.18649913771865
Epoch 1625 :  test_rel rank 1.18649913771865
Epoch 1630 :  test_rel rank 1.18649913771865
Epoch 1635 :  test_rel rank 1.18649913771865
Epoch 1640 :  test_rel rank 1.18649913771865
Epoch 1645 :  test_rel rank 1.18649913771865
Epoch 1650 :  test_rel rank 1.18649913771865
Epoch 1655 :  test_rel rank 1.18649913771865
Epoch 1660 :  test_rel rank 1.18649913771865
Epoch 1665 :  test_rel rank 1.18649913771865
Epoch 1670 :  test_rel rank 1.18649913771865
Epoch 1675 :  test_rel rank 1.18649913771865
Epoch 1680 :  test_rel rank 1.18649913771865
Epoch 1685 :  test_rel rank 1.18649913771865
Epoch 1690 :  test_rel rank 1.18649913771865
Epoch 1695 :  test_rel rank 1.18649913771865
Epoch 1700 :  test_rel rank 1.18649913771865
Epoch 1705 :  test_rel rank 1.18649913771865
Epoch 1710 :  test_rel rank 1.18649913771865
Epoch 1715 :  test_rel rank 1.18649913771865
Epoch 1720 :  test_rel rank 1.18649913771865
Epoch 1725 :  test_rel rank 1.18649913771865
Epoch 1730 :  test_rel rank 1.18649913771865
Epoch 1735 :  test_rel rank 1.18649913771865
Epoch 1740 :  test_rel rank 1.18649913771865
Epoch 1745 :  test_rel rank 1.18649913771865
Epoch 1750 :  test_rel rank 1.18649913771865
Epoch 1755 :  test_rel rank 1.18649913771865
Epoch 1760 :  test_rel rank 1.18649913771865
Epoch 1765 :  test_rel rank 1.18649913771865
Epoch 1770 :  test_rel rank 1.18649913771865
Epoch 1775 :  test_rel rank 1.18649913771865
Epoch 1780 :  test_rel rank 1.18649913771865
Epoch 1785 :  test_rel rank 1.18649913771865
Epoch 1790 :  test_rel rank 1.18649913771865
Epoch 1795 :  test_rel rank 1.18649913771865
Epoch 1800 :  test_rel rank 1.18649913771865
Epoch 1805 :  test_rel rank 1.18649913771865
Epoch 1810 :  test_rel rank 1.18649913771865
Epoch 1815 :  test_rel rank 1.18649913771865
Epoch 1820 :  test_rel rank 1.18649913771865
Epoch 1825 :  test_rel rank 1.18649913771865
Epoch 1830 :  test_rel rank 1.18649913771865
Epoch 1835 :  test_rel rank 1.18649913771865
Epoch 1840 :  test_rel rank 1.18649913771865
Epoch 1845 :  test_rel rank 1.18649913771865
Epoch 1850 :  test_rel rank 1.18649913771865
Epoch 1855 :  test_rel rank 1.18649913771865
Epoch 1860 :  test_rel rank 1.18649913771865
Epoch 1865 :  test_rel rank 1.18649913771865
Epoch 1870 :  test_rel rank 1.18649913771865
Epoch 1875 :  test_rel rank 1.18649913771865
Epoch 1880 :  test_rel rank 1.18649913771865
Epoch 1885 :  test_rel rank 1.18649913771865
Epoch 1890 :  test_rel rank 1.18649913771865
Epoch 1895 :  test_rel rank 1.18649913771865
Epoch 1900 :  test_rel rank 1.18649913771865
Epoch 1905 :  test_rel rank 1.18649913771865
Epoch 1910 :  test_rel rank 1.18649913771865
Epoch 1915 :  test_rel rank 1.18649913771865
Epoch 1920 :  test_rel rank 1.18649913771865
Epoch 1925 :  test_rel rank 1.18649913771865
Epoch 1930 :  test_rel rank 1.18649913771865
Epoch 1935 :  test_rel rank 1.18649913771865
Epoch 1940 :  test_rel rank 1.18649913771865
Epoch 1945 :  test_rel rank 1.18649913771865
Epoch 1950 :  test_rel rank 1.18649913771865
