yago_type1_lit_data_model
Epoch 1555 :  test_rel rank 2.972
Epoch 1560 :  test_rel rank 2.9725714285714284
Epoch 1565 :  test_rel rank 2.970285714285714
Epoch 1570 :  test_rel rank 2.9705714285714286
Epoch 1575 :  test_rel rank 2.9717142857142855
Epoch 1580 :  test_rel rank 2.970285714285714
Epoch 1585 :  test_rel rank 2.9699999999999998
Epoch 1590 :  test_rel rank 2.9694285714285718
Epoch 1595 :  test_rel rank 2.9699999999999998
Epoch 1600 :  test_rel rank 2.9697142857142858
Epoch 1605 :  test_rel rank 2.9697142857142858
Epoch 1610 :  test_rel rank 2.9697142857142858
Epoch 1615 :  test_rel rank 2.9699999999999998
Epoch 1620 :  test_rel rank 2.9705714285714286
Epoch 1625 :  test_rel rank 2.9717142857142855
Epoch 1630 :  test_rel rank 2.9717142857142855
Epoch 1635 :  test_rel rank 2.9734285714285713
Epoch 1640 :  test_rel rank 2.9731428571428573
Epoch 1645 :  test_rel rank 2.974
Epoch 1650 :  test_rel rank 2.9734285714285713
Epoch 1655 :  test_rel rank 2.974
Epoch 1660 :  test_rel rank 2.972857142857143
Epoch 1665 :  test_rel rank 2.974
Epoch 1670 :  test_rel rank 2.975714285714286
Epoch 1675 :  test_rel rank 2.975142857142857
Epoch 1680 :  test_rel rank 2.9754285714285715
Epoch 1685 :  test_rel rank 2.976285714285714
Epoch 1690 :  test_rel rank 2.975142857142857
Epoch 1695 :  test_rel rank 2.976857142857143
Epoch 1700 :  test_rel rank 2.976285714285714
Epoch 1705 :  test_rel rank 2.977142857142857
Epoch 1710 :  test_rel rank 2.978285714285714
Epoch 1715 :  test_rel rank 2.978285714285714
Epoch 1720 :  test_rel rank 2.978285714285714
Epoch 1725 :  test_rel rank 2.9785714285714286
Epoch 1730 :  test_rel rank 2.9794285714285715
Epoch 1735 :  test_rel rank 2.978285714285714
Epoch 1740 :  test_rel rank 2.978285714285714
Epoch 1745 :  test_rel rank 2.9794285714285715
Epoch 1750 :  test_rel rank 2.979142857142857
Epoch 1755 :  test_rel rank 2.9797142857142855
Epoch 1760 :  test_rel rank 2.9797142857142855
Epoch 1765 :  test_rel rank 2.979142857142857
Epoch 1770 :  test_rel rank 2.9788571428571426
Epoch 1775 :  test_rel rank 2.980857142857143
Epoch 1780 :  test_rel rank 2.9802857142857144
Epoch 1785 :  test_rel rank 2.98
Epoch 1790 :  test_rel rank 2.979142857142857
Epoch 1795 :  test_rel rank 2.9788571428571426
Epoch 1800 :  test_rel rank 2.9797142857142855
Epoch 1805 :  test_rel rank 2.9805714285714284
Epoch 1810 :  test_rel rank 2.98
Epoch 1815 :  test_rel rank 2.980857142857143
Epoch 1820 :  test_rel rank 2.9805714285714284
Epoch 1825 :  test_rel rank 2.982285714285714
Epoch 1830 :  test_rel rank 2.9817142857142858
Epoch 1835 :  test_rel rank 2.9811428571428573
Epoch 1840 :  test_rel rank 2.9802857142857144
Epoch 1845 :  test_rel rank 2.98
Epoch 1850 :  test_rel rank 2.98
Epoch 1855 :  test_rel rank 2.9794285714285715
Epoch 1860 :  test_rel rank 2.979142857142857
Epoch 1865 :  test_rel rank 2.979142857142857
Epoch 1870 :  test_rel rank 2.978285714285714
Epoch 1875 :  test_rel rank 2.9794285714285715
Epoch 1880 :  test_rel rank 2.9794285714285715
Epoch 1885 :  test_rel rank 2.9797142857142855
Epoch 1890 :  test_rel rank 2.9794285714285715
Epoch 1895 :  test_rel rank 2.9788571428571426
Epoch 1900 :  test_rel rank 2.979142857142857
Epoch 1905 :  test_rel rank 2.9797142857142855
Epoch 1910 :  test_rel rank 2.979142857142857
Epoch 1915 :  test_rel rank 2.9805714285714284
Epoch 1920 :  test_rel rank 2.9802857142857144
Epoch 1925 :  test_rel rank 2.9794285714285715
Epoch 1930 :  test_rel rank 2.9779999999999998
Epoch 1935 :  test_rel rank 2.9788571428571426
Epoch 1940 :  test_rel rank 2.9797142857142855
Epoch 1945 :  test_rel rank 2.979142857142857
Epoch 1950 :  test_rel rank 2.9794285714285715
Epoch 1955 :  test_rel rank 2.98
Epoch 1960 :  test_rel rank 2.9779999999999998
Epoch 1965 :  test_rel rank 2.9779999999999998
Epoch 1970 :  test_rel rank 2.9788571428571426
Epoch 1975 :  test_rel rank 2.9797142857142855
Epoch 1980 :  test_rel rank 2.9797142857142855
Epoch 1985 :  test_rel rank 2.978285714285714
Epoch 1990 :  test_rel rank 2.976285714285714
Epoch 1995 :  test_rel rank 2.9779999999999998
Traceback (most recent call last):
  File "/home/adityad/HyTE/HyTE-master/result_eval_relation.py", line 16, in <module>
    model_output_rel = open('results/'+args.model+'/valid_rel_pred_{}.txt'.format(k))
FileNotFoundError: [Errno 2] No such file or directory: 'results/yago_type1_lit_data_model/valid_rel_pred_2000.txt'
